code,sex,readgrp,age1,age2,age3,age4,age5,speed3,speed4,speed5,basmat3,basmat4,basmat5,bassim1,bassim2,bassim3,bassim4,bassim5,basdig1,basdig2,basdig3,basdig4,basdig5,basnum1,basnum2,basnum3,basnum4,basnum5,basread1,basread2,basread3,basread4,basread5,basspel1,basspel2,basspel3,basspel4,basspel5,trog1,trog2,trog3,trog4,trog5,woco1,woco2,woco3,woco4,woco5,bpvs1,bpvs2,bpvs3,bpvs4,bpvs5
CEB009B649BD,1,1,128,140,152,164,173,0,2,0,3,8,8,7,5,5,6,6,13,12,15,13,13,19,29,20,28,,42,52,59,69,63,12,9,11,15,14,7,7,9,7,9,8,11,8,11,5,10,10,12,12,11
CAE571852D62,1,1,120,132,143,,,0,,,1,,,0,0,0,,,5,6,2,,,10,9,16,,,4,5,5,,,0,1,0,,,7,7,9,,,0,0,0,,,10,12,8,,
FE83308FD059,2,1,115,127,139,151,,0,0,,2,3,,1,0,4,9,,5,6,5,7,,8,13,19,20,,11,22,23,35,,2,1,4,3,,5,8,8,7,,1,1,6,10,,8,9,9,8,
9003AA4A0003,1,1,115,126,136,,,9,,,4,,,11,12,13,,,13,15,18,,,14,20,22,,,64,76,75,,,,6,10,,,9,11,12,,,13,14,12,,,18,15,19,,
C2227598C3A6,2,1,107,120,132,145,153,0,0,1,2,0,2,1,6,5,8,9,12,8,7,12,10,,14,18,16,,34,39,45,56,61,3,4,5,,7,7,7,7,8,8,5,13,12,15,10,13,9,10,12,10
60322760E1C7,1,1,104,116,128,142,150,0,2,7,2,4,4,7,7,7,7,8,10,9,10,13,10,18,21,19,33,,49,55,61,64,69,7,8,11,12,12,9,11,11,11,12,8,10,15,10,11,9,12,15,15,14
15C24DE3096A,2,1,104,117,128,142,150,0,0,0,3,3,4,2,3,7,9,8,8,8,8,12,14,10,10,18,17,,25,34,42,51,52,1,2,4,6,9,7,8,10,11,9,4,5,11,12,12,10,15,14,18,15
7757A5F08031,1,1,105,116,128,,,0,,,0,,,1,0,0,,,5,6,6,,,8,12,6,,,9,9,14,,,0,2,0,,,6,7,4,,,0,0,0,,,,14,16,,
6658788CF407,2,1,103,113,126,138,,0,1,,1,2,,0,0,1,3,,8,11,10,14,,6,6,11,12,,9,12,11,21,,0,0,1,3,,6,8,7,9,,0,0,1,2,,9,10,12,12,
C1BDE2A194BF,1,1,100,113,125,137,145,0,0,1,2,2,2,0,1,4,6,6,6,6,8,8,7,6,8,10,13,,3,3,8,12,12,0,0,1,3,3,7,7,,12,8,0,0,0,0,0,12,12,10,14,9
