,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"B[Vocab, Vocab]",0.108,0.186,-0.26,0.464,0.001,0.001,46780.0,35214.0,1.0
"B[Vocab, LetterSound]",-0.009,0.066,-0.14,0.12,0.0,0.0,20209.0,21445.0,1.0
"B[Vocab, WordReading]",0.025,0.098,-0.165,0.22,0.001,0.0,16929.0,28540.0,1.0
"B[LetterSound, Vocab]",-0.005,0.146,-0.287,0.28,0.001,0.001,58030.0,37812.0,1.0
"B[LetterSound, LetterSound]",0.236,0.118,-0.0,0.464,0.001,0.001,15098.0,21631.0,1.0
"B[LetterSound, WordReading]",-0.026,0.132,-0.288,0.227,0.001,0.001,22813.0,30048.0,1.0
"B[WordReading, Vocab]",-0.003,0.143,-0.284,0.269,0.001,0.001,60000.0,36517.0,1.0
"B[WordReading, LetterSound]",0.02,0.097,-0.163,0.215,0.001,0.0,26480.0,31852.0,1.0
"B[WordReading, WordReading]",0.316,0.134,0.052,0.57,0.001,0.001,21191.0,28718.0,1.0
B_autoregressive[Vocab],0.108,0.186,-0.26,0.464,0.001,0.001,46780.0,35214.0,1.0
B_autoregressive[LetterSound],0.236,0.118,-0.0,0.464,0.001,0.001,15098.0,21631.0,1.0
B_autoregressive[WordReading],0.316,0.134,0.052,0.57,0.001,0.001,21191.0,28718.0,1.0
"B_crosslag[Vocab, Vocab]",0.0,0.0,-0.0,0.0,0.0,,48000.0,48000.0,
"B_crosslag[Vocab, LetterSound]",-0.009,0.066,-0.14,0.12,0.0,0.0,20209.0,21445.0,1.0
"B_crosslag[Vocab, WordReading]",0.025,0.098,-0.165,0.22,0.001,0.0,16929.0,28540.0,1.0
"B_crosslag[LetterSound, Vocab]",-0.005,0.146,-0.287,0.28,0.001,0.001,58030.0,37812.0,1.0
"B_crosslag[LetterSound, LetterSound]",0.0,0.0,0.0,0.0,0.0,,48000.0,48000.0,
"B_crosslag[LetterSound, WordReading]",-0.026,0.132,-0.288,0.227,0.001,0.001,22813.0,30048.0,1.0
"B_crosslag[WordReading, Vocab]",-0.003,0.143,-0.284,0.269,0.001,0.001,60000.0,36517.0,1.0
"B_crosslag[WordReading, LetterSound]",0.02,0.097,-0.163,0.215,0.001,0.0,26480.0,31852.0,1.0
"B_crosslag[WordReading, WordReading]",0.0,0.0,0.0,0.0,0.0,,48000.0,48000.0,
B_half_life[Vocab],0.408,0.199,0.104,0.797,0.001,0.001,34397.0,33397.0,1.0
B_half_life[LetterSound],0.499,0.176,0.162,0.847,0.001,0.001,16204.0,24018.0,1.0
B_half_life[WordReading],0.638,0.238,0.189,1.102,0.002,0.001,22589.0,30158.0,1.0
beta_age[Vocab],0.175,0.045,0.089,0.266,0.0,0.0,12701.0,22437.0,1.0
beta_age[LetterSound],0.055,0.14,-0.221,0.333,0.001,0.001,11651.0,19991.0,1.0
beta_age[WordReading],0.29,0.159,-0.019,0.605,0.001,0.001,12352.0,21837.0,1.0
"beta_person[gender, Vocab]",-0.021,0.088,-0.195,0.152,0.001,0.0,11704.0,21735.0,1.0
"beta_person[gender, LetterSound]",0.012,0.237,-0.455,0.474,0.002,0.001,13819.0,23142.0,1.0
"beta_person[gender, WordReading]",0.24,0.268,-0.26,0.79,0.002,0.001,14374.0,24902.0,1.0
"beta_person[area, Vocab]",0.166,0.087,-0.006,0.334,0.001,0.0,12170.0,22429.0,1.0
"beta_person[area, LetterSound]",0.138,0.241,-0.327,0.62,0.002,0.001,13782.0,17035.0,1.0
"beta_person[area, WordReading]",0.518,0.269,-0.018,1.039,0.002,0.001,15058.0,23243.0,1.0
alpha_sd[Vocab],0.3,0.035,0.233,0.369,0.0,0.0,15886.0,26828.0,1.0
alpha_sd[LetterSound],1.017,0.087,0.849,1.186,0.001,0.0,16303.0,29132.0,1.0
alpha_sd[WordReading],1.188,0.097,0.999,1.377,0.001,0.0,24175.0,32939.0,1.0
"alpha_corr[Vocab, Vocab]",1.0,0.0,1.0,1.0,0.0,,48000.0,48000.0,
"alpha_corr[Vocab, LetterSound]",0.549,0.11,0.333,0.752,0.001,0.001,9340.0,17525.0,1.0
"alpha_corr[Vocab, WordReading]",0.602,0.1,0.401,0.786,0.001,0.001,10294.0,18570.0,1.0
"alpha_corr[LetterSound, Vocab]",0.549,0.11,0.333,0.752,0.001,0.001,9340.0,17525.0,1.0
"alpha_corr[LetterSound, LetterSound]",1.0,0.0,1.0,1.0,0.0,0.0,48091.0,44130.0,1.0
"alpha_corr[LetterSound, WordReading]",0.842,0.057,0.729,0.942,0.001,0.0,10988.0,17441.0,1.0
"alpha_corr[WordReading, Vocab]",0.602,0.1,0.401,0.786,0.001,0.001,10294.0,18570.0,1.0
"alpha_corr[WordReading, LetterSound]",0.842,0.057,0.729,0.942,0.001,0.0,10988.0,17441.0,1.0
"alpha_corr[WordReading, WordReading]",1.0,0.0,1.0,1.0,0.0,0.0,48287.0,43860.0,1.0
eta_sd[Vocab],0.028,0.021,0.0,0.069,0.0,0.0,21699.0,20964.0,1.0
eta_sd[LetterSound],0.286,0.101,0.052,0.467,0.003,0.002,2052.0,1742.0,1.0
eta_sd[WordReading],0.049,0.037,0.0,0.121,0.0,0.0,22749.0,19776.0,1.0
"mu[Vocab, 1]",-1.351,0.058,-1.464,-1.235,0.0,0.0,15840.0,26903.0,1.0
"mu[Vocab, 2]",-1.24,0.058,-1.352,-1.124,0.0,0.0,18600.0,28866.0,1.0
"mu[Vocab, 3]",-1.081,0.056,-1.191,-0.969,0.0,0.0,15934.0,22478.0,1.0
"mu[Vocab, 4]",-0.971,0.056,-1.08,-0.86,0.0,0.0,17935.0,29279.0,1.0
"mu[LetterSound, 1]",-0.245,0.172,-0.572,0.105,0.002,0.001,12928.0,21798.0,1.0
"mu[LetterSound, 2]",0.623,0.156,0.318,0.932,0.001,0.001,14822.0,24699.0,1.0
"mu[LetterSound, 3]",1.108,0.156,0.798,1.413,0.001,0.001,15276.0,24499.0,1.0
"mu[LetterSound, 4]",1.349,0.16,1.033,1.661,0.001,0.001,15677.0,23067.0,1.0
"mu[WordReading, 1]",-3.296,0.193,-3.67,-2.919,0.002,0.001,14808.0,25568.0,1.0
"mu[WordReading, 2]",-2.602,0.174,-2.944,-2.263,0.001,0.001,15268.0,25903.0,1.0
"mu[WordReading, 3]",-2.027,0.168,-2.363,-1.703,0.001,0.001,14546.0,24594.0,1.0
"mu[WordReading, 4]",-1.778,0.167,-2.104,-1.448,0.001,0.001,15027.0,25957.0,1.0
"p_bar[Vocab, 1]",0.206,0.01,0.187,0.225,0.0,0.0,15840.0,26903.0,1.0
"p_bar[Vocab, 2]",0.225,0.01,0.205,0.245,0.0,0.0,18600.0,28866.0,1.0
"p_bar[Vocab, 3]",0.254,0.011,0.233,0.275,0.0,0.0,15934.0,22478.0,1.0
"p_bar[Vocab, 4]",0.275,0.011,0.253,0.297,0.0,0.0,17935.0,29279.0,1.0
"p_bar[LetterSound, 1]",0.439,0.042,0.357,0.523,0.0,0.0,12928.0,21798.0,1.0
"p_bar[LetterSound, 2]",0.65,0.035,0.58,0.718,0.0,0.0,14822.0,24699.0,1.0
"p_bar[LetterSound, 3]",0.751,0.029,0.693,0.807,0.0,0.0,15276.0,24499.0,1.0
"p_bar[LetterSound, 4]",0.793,0.026,0.74,0.842,0.0,0.0,15677.0,23067.0,1.0
"p_bar[WordReading, 1]",0.036,0.007,0.024,0.05,0.0,0.0,14808.0,25568.0,1.0
"p_bar[WordReading, 2]",0.07,0.011,0.049,0.093,0.0,0.0,15268.0,25903.0,1.0
"p_bar[WordReading, 3]",0.117,0.017,0.085,0.153,0.0,0.0,14546.0,24594.0,1.0
"p_bar[WordReading, 4]",0.146,0.021,0.105,0.187,0.0,0.0,15027.0,25957.0,1.0
"items_per_logit[Vocab, 1]",27.784,0.951,25.929,29.677,0.008,0.004,15840.0,26903.0,1.0
"items_per_logit[Vocab, 2]",29.596,0.948,27.761,31.477,0.007,0.004,18600.0,28866.0,1.0
"items_per_logit[Vocab, 3]",32.151,0.894,30.403,33.906,0.007,0.004,15934.0,22478.0,1.0
"items_per_logit[Vocab, 4]",33.857,0.855,32.165,35.513,0.006,0.003,17935.0,29279.0,1.0
"items_per_logit[LetterSound, 1]",7.826,0.178,7.468,8.0,0.002,0.001,14217.0,21789.0,1.0
"items_per_logit[LetterSound, 2]",7.239,0.339,6.567,7.847,0.003,0.002,14824.0,24699.0,1.0
"items_per_logit[LetterSound, 3]",5.964,0.464,5.053,6.862,0.004,0.002,15276.0,24499.0,1.0
"items_per_logit[LetterSound, 4]",5.236,0.486,4.293,6.193,0.004,0.002,15677.0,23067.0,1.0
"items_per_logit[WordReading, 1]",2.76,0.494,1.847,3.745,0.004,0.002,14808.0,25568.0,1.0
"items_per_logit[WordReading, 2]",5.123,0.764,3.677,6.648,0.006,0.004,15268.0,25903.0,1.0
"items_per_logit[WordReading, 3]",8.166,1.047,6.152,10.227,0.009,0.005,14546.0,24594.0,1.0
"items_per_logit[WordReading, 4]",9.805,1.155,7.652,12.174,0.009,0.005,15027.0,25957.0,1.0
delta[Vocab],0.02,0.018,0.0,0.057,0.0,0.0,11071.0,14958.0,1.0
delta[LetterSound],0.085,0.114,0.0,0.35,0.003,0.004,1721.0,1686.0,1.0
delta[WordReading],0.035,0.036,0.0,0.109,0.001,0.001,4197.0,7759.0,1.0
