,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"B[Vocab, Vocab]",0.112,0.186,-0.244,0.473,0.001,0.001,35696.0,20790.0,1.0
"B[Vocab, Spelling]",-0.018,0.132,-0.276,0.241,0.001,0.001,28446.0,21106.0,1.0
"B[Vocab, WordReading]",-0.026,0.118,-0.264,0.202,0.001,0.001,22282.0,19086.0,1.0
"B[Spelling, Vocab]",0.0,0.144,-0.279,0.282,0.001,0.001,41063.0,23101.0,1.0
"B[Spelling, Spelling]",0.152,0.166,-0.185,0.456,0.001,0.001,19923.0,13168.0,1.0
"B[Spelling, WordReading]",0.027,0.133,-0.238,0.28,0.001,0.001,26023.0,23453.0,1.0
"B[WordReading, Vocab]",0.016,0.145,-0.261,0.3,0.001,0.001,35012.0,22988.0,1.0
"B[WordReading, Spelling]",0.044,0.14,-0.236,0.308,0.001,0.001,18005.0,23379.0,1.0
"B[WordReading, WordReading]",0.26,0.134,-0.007,0.515,0.002,0.002,4905.0,4348.0,1.0
B_autoregressive[Vocab],0.112,0.186,-0.244,0.473,0.001,0.001,35696.0,20790.0,1.0
B_autoregressive[Spelling],0.152,0.166,-0.185,0.456,0.001,0.001,19923.0,13168.0,1.0
B_autoregressive[WordReading],0.26,0.134,-0.007,0.515,0.002,0.002,4905.0,4348.0,1.0
"B_crosslag[Vocab, Vocab]",0.0,0.0,-0.0,-0.0,0.0,,32000.0,32000.0,
"B_crosslag[Vocab, Spelling]",-0.018,0.132,-0.276,0.241,0.001,0.001,28446.0,21106.0,1.0
"B_crosslag[Vocab, WordReading]",-0.026,0.118,-0.264,0.202,0.001,0.001,22282.0,19086.0,1.0
"B_crosslag[Spelling, Vocab]",0.0,0.144,-0.279,0.282,0.001,0.001,41063.0,23101.0,1.0
"B_crosslag[Spelling, Spelling]",0.0,0.0,0.0,0.0,0.0,,32000.0,32000.0,
"B_crosslag[Spelling, WordReading]",0.027,0.133,-0.238,0.28,0.001,0.001,26023.0,23453.0,1.0
"B_crosslag[WordReading, Vocab]",0.016,0.145,-0.261,0.3,0.001,0.001,35012.0,22988.0,1.0
"B_crosslag[WordReading, Spelling]",0.044,0.14,-0.236,0.308,0.001,0.001,18005.0,23379.0,1.0
"B_crosslag[WordReading, WordReading]",0.0,0.0,0.0,0.0,0.0,,32000.0,32000.0,
B_half_life[Vocab],0.411,0.198,0.102,0.799,0.001,0.001,21295.0,19600.0,1.0
B_half_life[Spelling],0.425,0.192,0.113,0.801,0.001,0.001,25503.0,24358.0,1.0
B_half_life[WordReading],0.545,0.192,0.164,0.905,0.002,0.001,6557.0,10202.0,1.0
beta_age[Vocab],0.321,0.075,0.174,0.468,0.001,0.0,16067.0,21175.0,1.0
beta_age[Spelling],0.424,0.129,0.18,0.687,0.002,0.001,4866.0,9225.0,1.0
beta_age[WordReading],0.462,0.153,0.173,0.775,0.003,0.001,3346.0,7456.0,1.0
"beta_person[gender, Vocab]",-0.142,0.134,-0.403,0.126,0.001,0.001,17357.0,20802.0,1.0
"beta_person[gender, Spelling]",0.165,0.21,-0.248,0.577,0.002,0.001,13932.0,21286.0,1.0
"beta_person[gender, WordReading]",0.142,0.239,-0.327,0.606,0.002,0.001,13250.0,18859.0,1.0
alpha_sd[Vocab],0.234,0.066,0.11,0.369,0.001,0.0,12625.0,12181.0,1.0
alpha_sd[Spelling],0.494,0.083,0.334,0.657,0.001,0.0,19944.0,22345.0,1.0
alpha_sd[WordReading],0.659,0.082,0.5,0.821,0.001,0.0,20267.0,22993.0,1.0
"alpha_corr[Vocab, Vocab]",1.0,0.0,1.0,1.0,0.0,,32000.0,32000.0,
